Actual,Predicted,nPredictions
L1-2,Form3B-3,0
L1-2,4200-1,0
L1-2,5200-2,0
L1-2,L1-2,49
L1-2,L1-1,1
L1-2,M2-2,0
L1-2,M2-3,0
L1-2,M2-4,0
L1-2,M2-5,0
L1-2,Stratasys900mc-2,0
L1-2,M2-6,0
L1-1,Stratasys450mc-2,0
L1-1,5200-1,0
L1-1,Stratasys450mc-1,0
L1-1,Stratasys900mc-1,0
L1-1,M2-1,0
L1-1,Form3B-4,0
L1-1,Form3B-2,0
L1-1,Form3B-1,0
L1-1,Form3B-5,0
L1-1,Form3B-6,0
L1-1,Form3B-3,0
L1-1,4200-1,0
L1-1,5200-2,0
L1-1,L1-2,3
L1-1,L1-1,47
L1-1,M2-2,0
L1-1,M2-3,0
L1-1,M2-4,0
L1-1,M2-5,0
L1-1,Stratasys900mc-2,0
L1-1,M2-6,0
M2-2,Stratasys450mc-2,0
M2-2,5200-1,0
M2-2,Stratasys450mc-1,0
M2-2,Stratasys900mc-1,0
M2-2,M2-1,1
M2-2,Form3B-4,0
M2-2,Form3B-2,0
M2-2,Form3B-1,0
M2-2,Form3B-5,0
M2-2,Form3B-6,0
M2-2,Form3B-3,0
M2-2,4200-1,0
M2-2,5200-2,0
M2-2,L1-2,0
M2-2,L1-1,0
M2-2,M2-2,49
M2-2,M2-3,0
M2-2,M2-4,0
M2-2,M2-5,0
M2-2,Stratasys900mc-2,0
M2-2,M2-6,0
M2-3,Stratasys450mc-2,0
M2-3,5200-1,0
M2-3,Stratasys450mc-1,0
M2-3,Stratasys900mc-1,0
M2-3,M2-1,1
M2-3,Form3B-4,0
M2-3,Form3B-2,0
M2-3,Form3B-1,0
M2-3,Form3B-5,0
M2-3,Form3B-6,0
M2-3,Form3B-3,0
M2-3,4200-1,0
M2-3,5200-2,0
M2-3,L1-2,0
M2-3,L1-1,0
M2-3,M2-2,0
M2-3,M2-3,47
M2-3,M2-4,2
M2-3,M2-5,0
M2-3,Stratasys900mc-2,0
M2-3,M2-6,0
M2-4,Stratasys450mc-2,0
M2-4,5200-1,0
M2-4,Stratasys450mc-1,0
M2-4,Stratasys900mc-1,0
M2-4,M2-1,0
M2-4,Form3B-4,0
M2-4,Form3B-2,0
M2-4,Form3B-1,0
M2-4,Form3B-5,0
M2-4,Form3B-6,0
M2-4,Form3B-3,0
M2-4,4200-1,0
M2-4,5200-2,0
M2-4,L1-2,0
M2-4,L1-1,0
M2-4,M2-2,0
M2-4,M2-3,0
M2-4,M2-4,50
M2-4,M2-5,0
M2-4,Stratasys900mc-2,0
M2-4,M2-6,0
M2-5,Stratasys450mc-2,0
M2-5,5200-1,0
M2-5,Stratasys450mc-1,0
M2-5,Stratasys900mc-1,0
M2-5,M2-1,0
M2-5,Form3B-4,0
M2-5,Form3B-2,0
M2-5,Form3B-1,0
M2-5,Form3B-5,0
M2-5,Form3B-6,0
M2-5,Form3B-3,0
M2-5,4200-1,0
M2-5,5200-2,0
M2-5,L1-2,0
M2-5,L1-1,0
